touchpoint_id,lead_id,channel,interaction_type,timestamp
1,731,Ad Click,Outbound,2025-02-14 10:58:17
2,232,Website Visit,Inbound,2024-11-20 21:24:18
3,145,Email,Outbound,2025-02-08 15:20:33
4,848,Ad Click,Outbound,2025-03-10 06:31:14
5,276,Demo Request,Inbound,2025-04-11 01:28:57
6,356,Demo Request,Inbound,2025-04-10 03:42:21
7,366,Demo Request,Inbound,2024-11-26 12:13:17
8,230,Demo Request,Outbound,2025-03-21 13:30:46
9,217,Email,Outbound,2025-03-21 15:33:59
10,625,Phone Call,Outbound,2025-01-04 22:22:55
11,796,Demo Request,Inbound,2025-01-27 13:12:57
12,717,Email,Outbound,2025-03-05 11:36:29
13,722,Phone Call,Outbound,2025-02-23 11:11:00
14,44,Phone Call,Outbound,2025-03-10 21:31:02
15,542,Ad Click,Inbound,2025-01-05 02:24:01
16,485,Phone Call,Outbound,2024-12-18 14:44:41
17,122,Demo Request,Outbound,2024-12-22 02:06:42
18,266,Website Visit,Inbound,2025-01-01 15:40:00
19,126,Demo Request,Outbound,2025-01-30 02:13:11
20,1000,Demo Request,Inbound,2025-01-25 07:01:19
21,713,Website Visit,Outbound,2024-10-28 22:05:40
22,638,Demo Request,Outbound,2025-01-29 10:35:21
23,15,Website Visit,Inbound,2024-12-23 19:24:54
24,793,Email,Outbound,2024-11-04 10:40:40
25,197,Email,Inbound,2024-11-23 05:17:20
26,612,Email,Inbound,2024-12-19 14:27:30
27,811,Ad Click,Outbound,2025-02-20 03:49:41
28,589,Demo Request,Inbound,2025-04-24 05:16:48
29,647,Website Visit,Outbound,2025-02-26 23:07:58
30,719,Demo Request,Inbound,2024-11-24 12:18:52
31,257,Ad Click,Outbound,2025-03-29 20:16:13
32,833,Demo Request,Inbound,2025-02-10 05:32:45
33,770,Phone Call,Inbound,2024-11-25 12:22:58
34,182,Ad Click,Inbound,2025-04-22 04:53:20
35,741,Ad Click,Outbound,2025-03-03 08:05:42
36,379,Ad Click,Inbound,2025-01-01 13:24:44
37,834,Website Visit,Inbound,2024-12-20 01:14:08
38,207,Phone Call,Outbound,2025-02-20 14:03:13
39,560,Website Visit,Outbound,2025-02-11 02:21:50
40,961,Website Visit,Outbound,2025-02-09 21:25:46
41,399,Website Visit,Outbound,2024-12-25 06:33:22
42,578,Phone Call,Outbound,2025-01-24 01:00:41
43,723,Email,Outbound,2025-02-26 23:44:04
44,64,Phone Call,Outbound,2025-03-17 03:23:27
45,884,Demo Request,Inbound,2024-11-10 15:07:13
46,582,Ad Click,Inbound,2024-12-09 22:30:28
47,1000,Demo Request,Inbound,2025-01-10 09:23:44
48,623,Demo Request,Inbound,2024-12-11 02:48:19
49,751,Email,Outbound,2025-03-12 22:21:01
50,509,Website Visit,Inbound,2024-12-03 03:31:23
51,561,Demo Request,Outbound,2024-11-21 19:35:51
52,191,Website Visit,Inbound,2024-12-01 05:44:41
53,614,Phone Call,Inbound,2025-03-13 09:17:14
54,166,Ad Click,Outbound,2025-04-08 12:54:37
55,347,Website Visit,Outbound,2025-01-13 15:41:06
56,369,Email,Inbound,2024-11-13 01:53:35
57,455,Demo Request,Outbound,2024-12-25 04:37:59
58,28,Ad Click,Inbound,2025-03-27 13:53:26
59,460,Ad Click,Outbound,2024-10-28 10:50:33
60,505,Ad Click,Outbound,2025-02-24 10:46:46
61,948,Phone Call,Outbound,2025-01-13 16:20:41
62,228,Email,Inbound,2025-03-05 10:44:21
63,871,Website Visit,Outbound,2024-12-23 22:01:23
64,647,Website Visit,Inbound,2025-01-13 12:20:51
65,660,Demo Request,Outbound,2025-03-28 13:54:23
66,808,Demo Request,Inbound,2025-01-11 02:09:06
67,903,Demo Request,Inbound,2025-03-23 03:51:32
68,693,Email,Outbound,2025-02-23 03:44:50
69,656,Phone Call,Inbound,2025-01-30 12:28:35
70,817,Website Visit,Outbound,2024-11-29 04:01:37
71,541,Website Visit,Outbound,2024-12-24 12:11:02
72,46,Ad Click,Inbound,2025-01-01 04:00:27
73,225,Email,Outbound,2025-02-10 01:16:58
74,907,Website Visit,Outbound,2025-01-17 08:19:00
75,822,Ad Click,Inbound,2025-01-26 21:55:22
76,818,Website Visit,Inbound,2025-02-05 23:25:18
77,351,Email,Outbound,2025-02-25 15:41:10
78,304,Email,Inbound,2024-12-24 11:54:30
79,694,Website Visit,Inbound,2024-10-28 04:49:59
80,416,Email,Inbound,2025-02-21 08:23:52
81,943,Email,Outbound,2025-01-09 01:26:08
82,215,Demo Request,Outbound,2024-11-11 13:36:02
83,619,Email,Inbound,2024-12-07 05:49:29
84,807,Phone Call,Inbound,2025-03-22 12:23:43
85,247,Phone Call,Outbound,2024-12-20 16:02:53
86,453,Email,Inbound,2025-04-06 09:49:52
87,162,Demo Request,Inbound,2025-04-22 16:15:52
88,375,Ad Click,Inbound,2024-11-01 00:53:02
89,982,Website Visit,Inbound,2024-10-28 00:30:56
90,308,Email,Inbound,2024-12-07 08:46:28
91,12,Website Visit,Outbound,2025-01-13 15:00:53
92,804,Ad Click,Inbound,2024-11-20 19:48:18
93,812,Email,Inbound,2025-01-05 06:16:30
94,170,Website Visit,Outbound,2025-03-28 05:23:36
95,864,Phone Call,Inbound,2025-03-04 12:35:45
96,483,Phone Call,Outbound,2025-03-16 04:39:20
97,618,Phone Call,Outbound,2024-11-25 07:21:49
98,682,Ad Click,Inbound,2025-02-21 20:53:32
99,827,Email,Outbound,2025-01-20 17:03:56
100,892,Website Visit,Outbound,2025-04-24 08:50:12
101,861,Email,Inbound,2025-01-25 14:07:06
102,105,Phone Call,Inbound,2025-04-16 05:12:11
103,212,Phone Call,Inbound,2025-02-06 20:31:00
104,637,Phone Call,Outbound,2024-12-27 02:07:37
105,153,Demo Request,Inbound,2025-01-15 19:26:21
106,846,Email,Outbound,2025-01-21 02:09:00
107,412,Phone Call,Outbound,2024-11-16 16:04:33
108,393,Phone Call,Inbound,2024-12-30 23:11:00
109,757,Email,Outbound,2025-02-15 00:51:08
110,3,Demo Request,Outbound,2024-12-06 17:15:05
111,798,Demo Request,Outbound,2025-04-02 08:08:56
112,517,Email,Outbound,2025-03-31 00:36:10
113,738,Website Visit,Inbound,2025-01-21 00:33:09
114,715,Email,Outbound,2025-03-09 07:40:30
115,711,Website Visit,Outbound,2024-11-05 21:09:06
116,270,Ad Click,Inbound,2024-11-30 10:34:52
117,150,Email,Inbound,2025-01-28 04:50:19
118,686,Demo Request,Inbound,2025-01-30 02:47:07
119,460,Demo Request,Outbound,2025-02-20 21:46:18
120,841,Email,Inbound,2025-02-03 10:14:03
121,685,Email,Outbound,2025-01-09 08:41:05
122,922,Website Visit,Outbound,2024-11-03 00:18:57
123,716,Phone Call,Outbound,2025-02-19 09:10:44
124,908,Ad Click,Outbound,2024-12-31 02:01:50
125,881,Email,Inbound,2025-01-20 15:50:10
126,407,Email,Inbound,2025-04-19 17:46:04
127,866,Email,Inbound,2025-03-25 03:21:49
128,405,Website Visit,Outbound,2024-12-21 17:25:38
129,133,Ad Click,Outbound,2024-12-22 15:27:18
130,648,Website Visit,Inbound,2025-04-10 14:53:50
131,379,Phone Call,Inbound,2024-12-22 04:07:08
132,492,Demo Request,Inbound,2025-03-20 12:52:55
133,218,Ad Click,Outbound,2024-11-03 08:44:05
134,438,Email,Inbound,2025-01-06 02:49:34
135,607,Email,Outbound,2025-02-24 13:44:09
136,611,Website Visit,Outbound,2025-03-18 11:40:16
137,196,Website Visit,Outbound,2025-03-12 03:46:42
138,213,Demo Request,Inbound,2025-02-24 05:29:31
139,223,Demo Request,Inbound,2025-03-21 18:13:29
140,615,Website Visit,Inbound,2024-12-28 13:41:27
141,147,Email,Inbound,2024-11-16 10:47:24
142,621,Email,Outbound,2025-04-23 14:35:11
143,132,Email,Outbound,2025-01-01 16:45:26
144,203,Demo Request,Inbound,2024-12-03 13:02:47
145,994,Ad Click,Inbound,2025-04-09 11:58:23
146,733,Demo Request,Outbound,2024-10-30 17:41:35
147,115,Demo Request,Inbound,2025-01-26 06:45:03
148,814,Demo Request,Outbound,2024-12-08 15:51:31
149,478,Demo Request,Inbound,2024-12-14 05:56:03
150,731,Phone Call,Outbound,2025-04-04 07:31:45
151,965,Ad Click,Inbound,2024-11-15 06:04:06
152,872,Email,Outbound,2025-02-07 18:44:34
153,330,Website Visit,Outbound,2025-01-15 05:54:10
154,683,Ad Click,Inbound,2025-01-01 00:27:13
155,389,Website Visit,Outbound,2025-02-08 14:21:18
156,663,Email,Outbound,2025-01-19 11:45:02
157,361,Demo Request,Outbound,2025-03-30 18:36:33
158,601,Ad Click,Inbound,2024-11-19 20:18:34
159,543,Ad Click,Inbound,2025-04-18 10:10:25
160,672,Ad Click,Inbound,2025-04-23 18:21:59
161,417,Phone Call,Outbound,2025-01-27 14:54:51
